Team,Gold,Silver,Bronze
Afghanistan,0,0,0
Albania,0,0,0
Algeria,9,9,9
Amateur Athletic Association,5,5,5
American Samoa,0,0,0
Andorra,0,0,0
Angola,0,0,0
Antigua and Barbuda,0,0,0
Argentina,5,5,5
Armenia,0,0,0
Aruba,0,0,0
Australasia,1,1,1
Australia,88,88,88
Austria,7,7,7
Azerbaijan,0,0,0
Bahamas,36,36,36
Bahrain,3,3,3
Bangladesh,0,0,0
Barbados,1,1,1
Belarus,17,17,17
Belgium,16,16,16
Belize,0,0,0
Benin,0,0,0
Bermuda,0,0,0
Bohemia,1,1,1
Bolivia,0,0,0
Bosnia and Herzegovina,0,0,0
Botswana,1,1,1
Brazil,26,26,26
British Virgin Islands,0,0,0
Brunei,0,0,0
Bulgaria,19,19,19
Burkina Faso,0,0,0
Burundi,2,2,2
Cambodia,0,0,0
Cameroon,2,2,2
Canada,98,98,98
Cape Verde,0,0,0
Cayman Islands,0,0,0
Central African Republic,0,0,0
Chad,0,0,0
Chicago Athletic Association,5,5,5
Chile,2,2,2
China,27,27,27
Chinese Taipei,2,2,2
Colombia,3,3,3
Comoros,0,0,0
Congo (Brazzaville),0,0,0
Congo (Kinshasa),0,0,0
Cook Islands,0,0,0
Costa Rica,0,0,0
Cote d'Ivoire,1,1,1
Crete,0,0,0
Croatia,5,5,5
Cuba,58,58,58
Cyprus,0,0,0
Czech Republic,12,12,12
Czechoslovakia,24,24,24
Denmark,7,7,7
Djibouti,1,1,1
Dominica,0,0,0
Dominican Republic,3,3,3
East Germany,140,140,140
Ecuador,2,2,2
Egypt,0,0,0
El Salvador,0,0,0
Equatorial Guinea,0,0,0
Eritrea,1,1,1
Estonia,6,6,6
Ethiopia,53,53,53
Federated States of Micronesia,0,0,0
Fiji,0,0,0
Finland,138,138,138
France,110,110,110
Gabon,0,0,0
Gambia,0,0,0
Georgia,0,0,0
Germany,154,154,154
Ghana,0,0,0
Great Britain,334,334,334
Greece,37,37,37
Grenada,2,2,2
Guam,0,0,0
Guatemala,1,1,1
Guinea,0,0,0
Guinea Bissau,0,0,0
Guyana,0,0,0
Haiti,1,1,1
Honduras,0,0,0
Hong Kong,0,0,0
Hungary,52,52,52
Iceland,2,2,2
India,2,2,2
Individual Olympic Athletes,0,0,0
Indonesia,0,0,0
Iran,1,1,1
Iraq,0,0,0
Ireland,6,6,6
Israel,0,0,0
Italy,72,72,72
Jamaica,156,156,156
Japan,31,31,31
Jordan,0,0,0
Kazakhstan,4,4,4
Kenya,99,99,99
Kiribati,0,0,0
Kosovo,0,0,0
Kuwait,0,0,0
Kyrgyzstan,0,0,0
Laos,0,0,0
Latvia,5,5,5
Lebanon,0,0,0
Lesotho,0,0,0
Liberia,0,0,0
Libya,0,0,0
Liechtenstein,0,0,0
Lithuania,5,5,5
Luxembourg,2,2,2
Macedonia,0,0,0
Madagascar,0,0,0
Malawi,0,0,0
Malaya,0,0,0
Malaysia,0,0,0
Maldives,0,0,0
Mali,0,0,0
Malta,0,0,0
Marshall Islands,0,0,0
Mauritania,0,0,0
Mauritius,0,0,0
Mexico,11,11,11
Moldova,0,0,0
Monaco,0,0,0
Mongolia,0,0,0
Montenegro,0,0,0
Morocco,19,19,19
Mozambique,2,2,2
Myanmar,0,0,0
Namibia,4,4,4
Nepal,0,0,0
Netherlands,22,22,22
Netherlands Antilles,0,0,0
New York Athletic Club,5,5,5
New Zealand,24,24,24
Newfoundland,0,0,0
Nicaragua,0,0,0
Niger,0,0,0
Nigeria,41,41,41
North Borneo,0,0,0
North Korea,0,0,0
North Yemen,0,0,0
Norway,20,20,20
Oman,0,0,0
Pakistan,0,0,0
Palau,0,0,0
Palestine,0,0,0
Panama,3,3,3
Papua New Guinea,0,0,0
Paraguay,0,0,0
Peru,0,0,0
Philippines,2,2,2
Poland,72,72,72
Portugal,10,10,10
Puerto Rico,1,1,1
Qatar,3,3,3
Racing Club de France,5,5,5
Refugee Olympic Athletes,0,0,0
Rhodesia,0,0,0
Romania,35,35,35
Russia,103,103,103
Rwanda,0,0,0
Saar,0,0,0
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,0
Samoa,0,0,0
San Marino,0,0,0
Sao Tome and Principe,0,0,0
Saudi Arabia,1,1,1
Senegal,1,1,1
Serbia,1,1,1
Serbia and Montenegro,0,0,0
Seychelles,0,0,0
Sierra Leone,0,0,0
Slovakia,1,1,1
Slovenia,4,4,4
Solomon Islands,0,0,0
Somalia,0,0,0
South Africa,31,31,31
South Korea,2,2,2
South Sudan,0,0,0
South Vietnam,0,0,0
South Yemen,0,0,0
Soviet Union,242,242,242
Spain,14,14,14
Sri Lanka,2,2,2
Sudan,1,1,1
Suriname,0,0,0
Swaziland,0,0,0
Sweden,128,128,128
Switzerland,8,8,8
Syria,1,1,1
Tajikistan,1,1,1
Tanzania,2,2,2
Thailand,0,0,0
Timor Leste,0,0,0
Togo,0,0,0
Tonga,0,0,0
Trinidad and Tobago,28,28,28
Tunisia,5,5,5
Turkey,6,6,6
Turkmenistan,0,0,0
Tuvalu,0,0,0
Uganda,3,3,3
Ukraine,21,21,21
Unified Team,29,29,29
United Arab Emirates,0,0,0
United Arab Republic,0,0,0
United States,1071,1071,1071
United States Virgin Islands,0,0,0
Uruguay,0,0,0
Uzbekistan,0,0,0
Vanuatu,0,0,0
Venezuela,2,2,2
Vietnam,0,0,0
West Germany,71,71,71
West Indies Federation,5,5,5
Yemen,0,0,0
Yugoslavia,2,2,2
Zambia,1,1,1
Zimbabwe,0,0,0